Date,Open,High,Low,Close,Volume
01/14/2026,"259.49","261.82","256.71","259.96","40,019,422"
01/13/2026,"258.72","261.81","258.39","261.05","45,730,848"
01/12/2026,"259.16","261.30","256.80","260.25","45,263,770"
01/09/2026,"259.08","260.21","256.22","259.37","39,996,969"
01/08/2026,"257.02","259.29","255.70","259.04","50,419,340"
01/07/2026,"263.20","263.68","259.81","260.33","48,309,801"
01/06/2026,"267.00","267.55","262.12","262.36","52,352,090"
01/05/2026,"270.64","271.51","266.14","267.26","45,647,191"
01/02/2026,"272.26","277.84","269.00","271.01","37,838,047"
12/31/2025,"273.06","273.68","271.75","271.86","27,293,641"
12/30/2025,"272.81","274.08","272.28","273.08","22,139,619"
12/29/2025,"272.69","274.36","272.35","273.76","23,715,211"
12/26/2025,"274.16","275.37","272.86","273.40","21,521,801"
12/24/2025,"272.34","275.43","272.20","273.81","17,910,570"
12/23/2025,"270.84","272.50","269.56","272.36","29,642,000"
12/22/2025,"272.86","273.88","270.51","270.97","36,571,832"
12/19/2025,"272.15","274.60","269.90","273.67","144,632,000"
12/18/2025,"273.61","273.63","266.95","272.19","51,630,719"
12/17/2025,"275.01","276.16","271.64","271.84","50,138,738"
12/16/2025,"272.82","275.50","271.79","274.61","37,648,633"
12/15/2025,"280.15","280.15","272.84","274.11","50,409,078"
